Varzi comune,Varzi comune.1
,
Varzi – VedutaPanorama dell'abitato,Varzi – VedutaPanorama dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giovanni Palli dal 27-5-2019
Territorio,Territorio
Coordinate,44°49′N 9°12′E
Altitudine,416 m s.l.m.
Superficie,"57,61 km²"
Abitanti,3 066[1] (30-11-2025)
Densità,"53,22 ab./km²"
Frazioni,"Bognassi, Bosmenso, Braia di Cella, Caposelva, Carro, Casa Bertella, Casa Cabano, Casa Fiori, Castellaro, Cella, Dego, Fontana di Nivione, Monteforte, Nivione, Pietragavina, Rosara, Sagliano Crenna, San Martino, San Michele di Nivione, Santa Cristina"
Comuni confinanti,"Bagnaria, Colli Verdi, Fabbrica Curone (AL), Gremiasco (AL), Menconico, Ponte Nizza, Romagnese, Santa Margherita di Staffora, Val di Nizza, Zavattarello"
Altre informazioni,Altre informazioni
Cod. postale,27057
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018171
Cod. catastale,L690
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 903 GG[3]"
Nome abitanti,varzesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Varzi,Varzi
Varzi – MappaPosizione del comune di Varzi nella provincia di Pavia,Varzi – MappaPosizione del comune di Varzi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
