Trivolzio comune,Trivolzio comune.1
,
Trivolzio – VedutaChiesa dei Santi Cornelio e Cipriano,Trivolzio – VedutaChiesa dei Santi Cornelio e Cipriano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Villani (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°15′43.92″N 9°02′48.61″E
Altitudine,97 m s.l.m.
Superficie,"3,83 km²"
Abitanti,2 492[1] (30-11-2025)
Densità,"650,65 ab./km²"
Frazioni,Cascina Viscontina e Villa Annunciata
Comuni confinanti,"Battuda, Bereguardo, Marcignago, Torre d'Isola, Trovo"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018163
Cod. catastale,L440
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,trivolzini
Patrono,San Riccardo Pampuri
Giorno festivo,1º maggio
Cartografia,Cartografia
Trivolzio,Trivolzio
Trivolzio – MappaPosizione del comune di Trivolzio nella provincia di Pavia,Trivolzio – MappaPosizione del comune di Trivolzio nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
