Castelletto di Branduzzo comune,Castelletto di Branduzzo comune.1
,
Castelletto di Branduzzo – Veduta,Castelletto di Branduzzo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Flavio Ferlini (lista civica Amici di Castelletto) dal 10-6-2024
Territorio,Territorio
Coordinate,45°04′N 9°06′E
Altitudine,70 m s.l.m.
Superficie,"11,77 km²"
Abitanti,1 058[1] (30-11-2025)
Densità,"89,89 ab./km²"
Frazioni,"Branduzzo, Valle Botta, Bassino, Case Nuove"
Comuni confinanti,"Bastida Pancarana, Bressana Bottarone, Casatisma, Lungavilla, Pancarana, Pizzale, Verretto"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018038
Cod. catastale,C157
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,castellettesi
Patrono,santi Siro e Alberto
Giorno festivo,1ª domenica di agosto
Cartografia,Cartografia
Castelletto di Branduzzo,Castelletto di Branduzzo
Castelletto di Branduzzo – MappaPosizione del comune di Castelletto di Branduzzo nella provincia di Pavia,Castelletto di Branduzzo – MappaPosizione del comune di Castelletto di Branduzzo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
