Sommo comune,Sommo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giovanna Paola Ferrari (lista civica) dal 27-5-2013
Territorio,Territorio
Coordinate,45°08′N 9°05′E
Altitudine,80 m s.l.m.
Superficie,"14,87 km²"
Abitanti,1 121[1] (30-11-2025)
Densità,"75,39 ab./km²"
Frazioni,"Ca' Bianca, Cassinino, Luini, Piarde, San Fedele, Travedo, Volpara"
Comuni confinanti,"Bastida Pancarana, Cava Manara, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27048
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018151
Cod. catastale,I825
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,sommesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Sommo,Sommo
Sommo – MappaPosizione del comune di Sommo nella provincia di Pavia,Sommo – MappaPosizione del comune di Sommo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
