Rocca de' Giorgi comune,Rocca de' Giorgi comune.1
,
Rocca de' Giorgi – VedutaRuderi della Rocca di messer Fiorello,Rocca de' Giorgi – VedutaRuderi della Rocca di messer Fiorello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paolo Fiocchi (lista civica) dal 26-05-2019
Territorio,Territorio
Coordinate,44°57′N 9°15′E
Altitudine,219 m s.l.m.
Superficie,"10,5 km²"
Abitanti,39[1] (30-11-2025)
Densità,"3,71 ab./km²"
Frazioni,"Cerchiara-Cuccagna, Vallorsa, Villa Fornace (sede comunale)"
Comuni confinanti,"Colli Verdi, Montalto Pavese, Montecalvo Versiggia"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018125
Cod. catastale,H396
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 745 GG[3]"
Nome abitanti,rocchesi
Cartografia,Cartografia
Rocca de' Giorgi,Rocca de' Giorgi
Rocca de' Giorgi – MappaPosizione del comune di Rocca de' Giorgi nella provincia di Pavia,Rocca de' Giorgi – MappaPosizione del comune di Rocca de' Giorgi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
