Zeme comune,Zeme comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Massimo Saronni (Síamo Zeme) dal 26-5-2019
Territorio,Territorio
Coordinate,45°12′N 8°40′E
Altitudine,104 m s.l.m.
Superficie,"24,58 km²"
Abitanti,987[1] (30-11-2025)
Densità,"40,15 ab./km²"
Comuni confinanti,"Castello d'Agogna, Cozzo, Olevano di Lomellina, Sant'Angelo Lomellina, Valle Lomellina, Velezzo Lomellina"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018186
Cod. catastale,M161
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 622 GG[3]"
Nome abitanti,zemesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Zeme,Zeme
Zeme – MappaPosizione del comune di Zeme nella provincia di Pavia,Zeme – MappaPosizione del comune di Zeme nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
