Filighera comune,Filighera comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Alessandro Pettinari (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°11′N 9°19′E
Altitudine,74 m s.l.m.
Superficie,"8,25 km²"
Abitanti,810[1] (30-11-2025)
Densità,"98,18 ab./km²"
Frazioni,"Fanese, Montesano, Ca' Lepre, Case Nuove, Beatico inferiore e superiore, C.na Nuova, C.na Sacchina, C.na Fornace"
Comuni confinanti,"Albuzzano, Belgioioso, Copiano, Corteolona e Genzone, Vistarino"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018063
Cod. catastale,D594
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,"filigheresi, bei ridòn"
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Filighera,Filighera
Filighera – MappaPosizione del comune di Filighera nella provincia di Pavia,Filighera – MappaPosizione del comune di Filighera nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
