Bascapè comune,Bascapè comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Emanuela Curti (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°18′N 9°19′E
Altitudine,89 m s.l.m.
Superficie,"13,34 km²"
Abitanti,1 824[1] (30-11-2025)
Densità,"136,73 ab./km²"
Frazioni,"Mangialupo, San Zeno e Foppa, Trognano, Villarzino"
Comuni confinanti,"Carpiano (MI), Casaletto Lodigiano (LO), Caselle Lurani (LO), Cerro al Lambro (MI), Landriano, Torrevecchia Pia, Valera Fratta (LO)"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018009
Cod. catastale,A690
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,bascaprini
Cartografia,Cartografia
Bascapè,Bascapè
Bascapè – MappaPosizione del comune di Bascapè nella provincia di Pavia,Bascapè – MappaPosizione del comune di Bascapè nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
