Verretto comune,Verretto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Luigino Polin (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°02′22.25″N 9°05′31.63″E
Altitudine,74 m s.l.m.
Superficie,"2,71 km²"
Abitanti,383[1] (30-11-2025)
Densità,"141,33 ab./km²"
Frazioni,"Borgo, Carantano, Dorna, Filiberta, Lottona"
Comuni confinanti,"Casatisma, Casteggio, Castelletto di Branduzzo, Lungavilla, Montebello della Battaglia"
Altre informazioni,Altre informazioni
Cod. postale,27053
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018174
Cod. catastale,L784
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,verretesi
Cartografia,Cartografia
Verretto,Verretto
Verretto – MappaPosizione del comune di Verretto nella provincia di Pavia,Verretto – MappaPosizione del comune di Verretto nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
