Verrua Po comune,Verrua Po comune.1
,
Verrua Po – Veduta,Verrua Po – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Pierangelo Lazzari (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°06′39.38″N 9°10′53.73″E
Altitudine,64 m s.l.m.
Superficie,"11,44 km²"
Abitanti,1 216[1] (30-11-2025)
Densità,"106,29 ab./km²"
Frazioni,Ca' Nova
Comuni confinanti,"Bressana Bottarone, Casanova Lonati, Mezzanino, Pinarolo Po, Rea, Travacò Siccomario"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018175
Cod. catastale,L788
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,verruesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Motto,(LA) Verruca Viquerientium
Cartografia,Cartografia
Verrua Po,Verrua Po
Verrua Po – MappaPosizione del comune di Verrua Po nella provincia di Pavia,Verrua Po – MappaPosizione del comune di Verrua Po nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
