Stradella comune,Stradella comune.1
,
"Stradella – VedutaLa Torre Civica, monumento principale di Stradella","Stradella – VedutaLa Torre Civica, monumento principale di Stradella"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gianpiero Bellinzona (Lista Civina Bellinzona Sindaco) dal 10-06-2024
Territorio,Territorio
Coordinate,45°05′N 9°18′E
Altitudine,101 m s.l.m.
Superficie,"18,84 km²"
Abitanti,11 729[1] (30-11-2025)
Densità,"622,56 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Arena Po, Broni, Canneto Pavese, Montù Beccaria, Portalbera, San Cipriano Po, Spessa, Zenevredo"
Altre informazioni,Altre informazioni
Cod. postale,27049
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018153
Cod. catastale,I968
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,stradellini
Patrono,santi Nabore e Felice
Giorno festivo,12 luglio
Cartografia,Cartografia
Stradella,Stradella
Stradella – MappaPosizione del comune di Stradella nella provincia di Pavia,Stradella – MappaPosizione del comune di Stradella nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
