Villanterio comune,Villanterio comune.1
,
Villanterio – VedutaLa sede del comune,Villanterio – VedutaLa sede del comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gianluigi Poma (Insieme per Villanterio) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 9°22′E
Altitudine,75 m s.l.m.
Superficie,"14,77 km²"
Abitanti,3 428[1] (30-11-2025)
Densità,"232,09 ab./km²"
Frazioni,Monte Bolognola
Comuni confinanti,"Gerenzago, Inverno e Monteleone, Magherno, Marudo (LO), Sant'Angelo Lodigiano (LO), Torre d'Arese, Valera Fratta (LO)"
Altre informazioni,Altre informazioni
Cod. postale,27019
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018180
Cod. catastale,L994
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,villanteresi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Villanterio,Villanterio
Villanterio – MappaPosizione del comune di Villanterio nella provincia di Pavia,Villanterio – MappaPosizione del comune di Villanterio nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
