Cozzo comune,Cozzo comune.1
,
Cozzo – VedutaVeduta del castello,Cozzo – VedutaVeduta del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paola Patrucchi dal 6-6-2016
Territorio,Territorio
Coordinate,45°11′33.57″N 8°36′39.74″E
Altitudine,105 m s.l.m.
Superficie,"17,61 km²"
Abitanti,357[1] (30-11-2025)
Densità,"20,27 ab./km²"
Frazioni,Celpenchio
Comuni confinanti,"Candia Lomellina, Castelnovetto, Langosco, Rosasco, Sant'Angelo Lomellina, Valle Lomellina, Zeme"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018059
Cod. catastale,D127
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,cozzesi
Patrono,San Vittorino
Giorno festivo,3 settembre
Cartografia,Cartografia
Cozzo,Cozzo
Cozzo – MappaPosizione del comune di Cozzo nella provincia di Pavia,Cozzo – MappaPosizione del comune di Cozzo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
