Lomello comune,Lomello comune.1
,
Lomello – VedutaLa basilica e il battistero,Lomello – VedutaLa basilica e il battistero
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Silvia Ruggia (lista civica) dal 25-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,45°07′19.2″N 8°47′50.28″E
Altitudine,96 m s.l.m.
Superficie,"22,36 km²"
Abitanti,2 005[1] (30-11-2025)
Densità,"89,67 ab./km²"
Frazioni,Cascina Belvedere
Comuni confinanti,"Ferrera Erbognone, Galliavola, Mede, Ottobiano, San Giorgio di Lomellina, Semiana, Velezzo Lomellina, Villa Biscossi"
Altre informazioni,Altre informazioni
Cod. postale,27034
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018083
Cod. catastale,E662
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,lomellesi
Patrono,Santa Croce
Giorno festivo,seconda domenica di maggio
Cartografia,Cartografia
Lomello,Lomello
Lomello – MappaPosizione del comune di Lomello nella provincia di Pavia,Lomello – MappaPosizione del comune di Lomello nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
