Borgo San Siro comune,Borgo San Siro comune.1
,
Borgo San Siro – VedutaScorcio dell'abitato,Borgo San Siro – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonio Ballottin (lista civica) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°14′32.26″N 8°55′54.73″E
Altitudine,98 m s.l.m.
Superficie,"17,64 km²"
Abitanti,961[1] (30-11-2025)
Densità,"54,48 ab./km²"
Frazioni,"Casa Torricella, Cascina Beccaria, Cascina Durazzina, Cascina Magnona, Cascina Vallazza, Casòn Polo, Molini, Torrazza"
Comuni confinanti,"Bereguardo, Gambolò, Garlasco, Tromello, Vigevano, Zerbolò"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018018
Cod. catastale,B038
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,borghigiani
Patrono,San Siro di Pavia
Giorno festivo,3 domenica di Ottobre
Cartografia,Cartografia
Borgo San Siro,Borgo San Siro
Borgo San Siro – MappaPosizione del comune di Borgo San Siro nella provincia di Pavia,Borgo San Siro – MappaPosizione del comune di Borgo San Siro nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
