Cigognola comune,Cigognola comune.1
,
Cigognola – VedutaVeduta con il castello,Cigognola – VedutaVeduta con il castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gianluca Orioli (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°02′20.81″N 9°14′53.03″E
Altitudine,309 m s.l.m.
Superficie,"7,88 km²"
Abitanti,1 313[1] (30-11-2025)
Densità,"166,62 ab./km²"
Frazioni,"Casa Valenti, Cascina Stefano, Case del Piano, Colombera, Regondè, Rivara, Valle Cima, Valle Fondo, Valle Mezzo, Vallescuropasso, Vicomune"
Comuni confinanti,"Broni, Canneto Pavese, Castana, Pietra de' Giorgi"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018049
Cod. catastale,C684
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 998 GG[3]"
Nome abitanti,cigognolesi
Cartografia,Cartografia
Cigognola,Cigognola
Cigognola – MappaPosizione del comune di Cigognola nella provincia di Pavia,Cigognola – MappaPosizione del comune di Cigognola nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
