Torre d'Isola comune,Torre d'Isola comune.1
,
Torre d'Isola – VedutaLa chiesa di Santa Maria della Neve,Torre d'Isola – VedutaLa chiesa di Santa Maria della Neve
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Casimiro Veronesi (lista civica)
Territorio,Territorio
Coordinate,45°13′N 9°05′E
Altitudine,84 m s.l.m.
Superficie,"16,44 km²"
Abitanti,2 506[1] (30-11-2025)
Densità,"152,43 ab./km²"
Frazioni,"San Varese, Sette Filagni, Casottole, Massaua, Carpana, Campagna, Cà de Vecchi, Boschetto, Villaggio dei Pioppi, Brughiere, Mulino della Valle, Cascina Grande, Santa Sofia e Frutteto, Brughiera, Cascina Grande, Cassineta"
Comuni confinanti,"Bereguardo, Carbonara al Ticino, Marcignago, Pavia, Trivolzio, Zerbolò"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018159
Cod. catastale,L269
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,Torredisolani
Patrono,Madonna della Neve
Cartografia,Cartografia
Torre d'Isola,Torre d'Isola
Torre d'Isola – MappaPosizione del comune di Torre d'Isola nella provincia di Pavia,Torre d'Isola – MappaPosizione del comune di Torre d'Isola nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
