Montalto Pavese comune,Montalto Pavese comune.1
,
Montalto Pavese – VedutaVeduta,Montalto Pavese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paolo Repossi (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,44°59′N 9°13′E
Altitudine,380 m s.l.m.
Superficie,"19,07 km²"
Abitanti,802[1] (30-11-2025)
Densità,"42,06 ab./km²"
Frazioni,"Bosco della Chiesa, Bozzola, Cà del Fosso, Casa Madama, Cavazzo, Cella, Costa Gallotti, Costaiola, Dònega, Finigeto, Fornacetta, Lirio, Molgheto, Molino Sacristia, Pezzolo, Sguarnazzole, Villa Illibardi"
Comuni confinanti,"Borgo Priolo, Borgoratto Mormorolo, Calvignano, Colli Verdi, Montecalvo Versiggia, Mornico Losana, Oliva Gessi, Pietra de' Giorgi, Rocca de' Giorgi, Santa Maria della Versa"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018094
Cod. catastale,F417
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 138 GG[3]"
Nome abitanti,montaltesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Montalto Pavese,Montalto Pavese
Montalto Pavese – MappaPosizione del comune di Montalto Pavese nella provincia di Pavia,Montalto Pavese – MappaPosizione del comune di Montalto Pavese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
