Montù Beccaria comune,Montù Beccaria comune.1
,
Montù Beccaria – VedutaLe scuole,Montù Beccaria – VedutaLe scuole
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mary Albina Lardini (Forza Italia) dal 04-10-2021
Territorio,Territorio
Coordinate,45°02′N 9°19′E
Altitudine,277 m s.l.m.
Superficie,"15,49 km²"
Abitanti,1 640[1] (30-11-2025)
Densità,"105,87 ab./km²"
Frazioni,"Belvedere, Bergamasco, Bosco Negredo, Casa Barbieri, Casa Bernardini, Casa Bersaglieri, Casa Bianca, Casa Borsoni, Casa del Pozzo, Casa Quaroni, Casa Rovati, Casa Valle, Casa Villino, Castagnola, Cerizzola, Casotti, Crosia, Costa Montefedele, Figale, Fontanetto Oriente, Fontanone, Guastona, Loglio di Sopra, Loglio di Sotto, Maccarone dei Frati, Marcadello, Molino Quaroni, Moriano, Poggiolo, Porcarano, Roncole, Torre Quattrino, Torretta, Tassarole, Villa Montemartini, Zerbo"
Comuni confinanti,"Bosnasco, Canneto Pavese, Castana, Montescano, Rovescala, San Damiano al Colle, Santa Maria della Versa, Stradella, Zenevredo"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018100
Cod. catastale,F701
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 947 GG[3]"
Nome abitanti,montuesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Montù Beccaria,Montù Beccaria
Montù Beccaria – MappaPosizione del comune di Montù Beccaria nella provincia di Pavia,Montù Beccaria – MappaPosizione del comune di Montù Beccaria nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
