Inverno e Monteleone comune,Inverno e Monteleone comune.1
,
Inverno e Monteleone – Veduta,Inverno e Monteleone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Lazzari (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,45°12′N 9°23′E
Altitudine,74 m s.l.m.
Superficie,"9,64 km²"
Abitanti,1 479[1] (31-10-2023)
Densità,"153,42 ab./km²"
Frazioni,"Monteleone, Cascine San Giuseppe, Cascine di Sotto"
Comuni confinanti,"Corteolona e Genzone, Gerenzago, Miradolo Terme, Sant'Angelo Lodigiano (LO), Santa Cristina e Bissone, Villanterio"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018077
Cod. catastale,E310
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,invernini e monteleonesi
Cartografia,Cartografia
Inverno e Monteleone,Inverno e Monteleone
Inverno e Monteleone – MappaPosizione del comune di Inverno e Monteleone nella provincia di Pavia,Inverno e Monteleone – MappaPosizione del comune di Inverno e Monteleone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
