Mornico Losana comune,Mornico Losana comune.1
,
Mornico Losana – Veduta,Mornico Losana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Ilaria Rosati (Impegno Civico per Mornico Losana) dal 09-06-2024
Territorio,Territorio
Coordinate,45°01′N 9°12′E
Altitudine,284 m s.l.m.
Superficie,"8,3 km²"
Abitanti,607[1] (30-11-2025)
Densità,"73,13 ab./km²"
Frazioni,"Boffalora, Casa Guarnone, Casa Madama, Cinque Strade, Losana, Montepezzuto, Mornico, Ronchi, Valsorda, Costaiola, Sfogliata"
Comuni confinanti,"Montalto Pavese, Oliva Gessi, Pietra de' Giorgi, Santa Giuletta, Torricella Verzate"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018101
Cod. catastale,F739
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 958 GG[3]"
Nome abitanti,mornichesi
Patrono,santi Cosma e Damiano
Giorno festivo,8 settembre
Cartografia,Cartografia
Mornico Losana,Mornico Losana
Mornico Losana – MappaPosizione del comune di Mornico Losana nella provincia di Pavia,Mornico Losana – MappaPosizione del comune di Mornico Losana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
