Robbio comune,Robbio comune.1
,
Robbio – VedutaLa torre del castello,Robbio – VedutaLa torre del castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberto Francese (lista civica) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°17′29″N 8°35′32″E
Altitudine,122 m s.l.m.
Superficie,"40,54 km²"
Abitanti,6 021[1] (30-11-2025)
Densità,"148,52 ab./km²"
Comuni confinanti,"Borgolavezzaro (NO), Castelnovetto, Confienza, Nicorvo, Palestro, Rosasco, Vespolate (NO)"
Altre informazioni,Altre informazioni
Cod. postale,27038
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018123
Cod. catastale,H369
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,robbiesi
Patrono,Madonna del Rosario
Giorno festivo,1ª domenica di settembre
Cartografia,Cartografia
Robbio,Robbio
Robbio – MappaPosizione del comune di Robbio nella provincia di Pavia,Robbio – MappaPosizione del comune di Robbio nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
