Lungavilla comune,Lungavilla comune.1
,
Lungavilla – VedutaChiesa di Santa Maria Assunta,Lungavilla – VedutaChiesa di Santa Maria Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Ester Gabetta
Territorio,Territorio
Coordinate,45°02′N 9°05′E
Altitudine,75 m s.l.m.
Superficie,"6,82 km²"
Abitanti,2 407[1] (30-11-2025)
Densità,"352,93 ab./km²"
Comuni confinanti,"Castelletto di Branduzzo, Verretto, Casteggio, Montebello della Battaglia, Voghera, Pizzale"
Altre informazioni,Altre informazioni
Cod. postale,27053
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018084
Cod. catastale,B387
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,Lungavillesi
Patrono,Santa Maria Assunta in Cielo
Cartografia,Cartografia
Lungavilla,Lungavilla
Lungavilla – MappaPosizione del comune di Lungavilla nella provincia di Pavia,Lungavilla – MappaPosizione del comune di Lungavilla nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
