Bornasco comune,Bornasco comune.1
,
Bornasco – Veduta,Bornasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Roberta Bonetti dal 26-5-2019
Territorio,Territorio
Coordinate,45°15′59.64″N 9°13′04.62″E
Altitudine,85 m s.l.m.
Superficie,"12,93 km²"
Abitanti,2 648[1] (30-11-2025)
Densità,"204,8 ab./km²"
Frazioni,"Cascina Settimo, Corbesate, Floria, Gioia, Grugnetto, Gualdrasco, Misano Olona, San Rocco[2]"
Comuni confinanti,"Ceranova, Giussago, Lacchiarella (MI), Lardirago, San Genesio ed Uniti, Sant'Alessio con Vialone, Siziano, Vidigulfo, Zeccone"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018019
Cod. catastale,B051
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 628 GG[4]"
Nome abitanti,bornaschini
Patrono,SS Maria Assunta
Cartografia,Cartografia
Bornasco,Bornasco
Bornasco – MappaPosizione del comune di Bornasco nella provincia di Pavia,Bornasco – MappaPosizione del comune di Bornasco nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
