Brallo di Pregola comune,Brallo di Pregola comune.1
,
Brallo di Pregola – VedutaPiazza Municipio a Brallo,Brallo di Pregola – VedutaPiazza Municipio a Brallo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Piergiacomo Giuliano Gualdana (lista civica di centro-destra Il Brallo che vorrei) dal 4-10-2021
Territorio,Territorio
Coordinate,44°44′N 9°17′E
Altitudine,952 m s.l.m.
Superficie,"46,15 km²"
Abitanti,474[1] (30-11-2025)
Densità,"10,27 ab./km²"
Frazioni,"Barostro, Bocco, Bosco, Bralello, Casone, Cencerate, Cima Colletta, Colleri, Collistano, Corbesassi, Cortevezzo, Feligara, Lama, La Tomba, Pianezza, Pianellette, Pietranatale, Ponti, Pratolungo, Pregola, Prodongo, Ravignola, Rovaiolo, Selva, Someglio, Valformosa, Valle Inferiore, Valle Superiore"
Comuni confinanti,"Bobbio (PC), Cerignale (PC), Corte Brugnatella (PC), Santa Margherita di Staffora, Zerba (PC)"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018021
Cod. catastale,B117
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 772 GG[3]"
Nome abitanti,brallesi o pregolesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Brallo di Pregola,Brallo di Pregola
Brallo di Pregola – MappaPosizione del comune di Brallo di Pregola nella provincia di Pavia,Brallo di Pregola – MappaPosizione del comune di Brallo di Pregola nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
