Casteggio città,Casteggio città.1
,
Casteggio – VedutaVeduta,Casteggio – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Lorenzo Maria Vigo (centro-destra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°01′N 9°08′E
Altitudine,90 m s.l.m.
Superficie,"17,66 km²"
Abitanti,6 374[1] (30-11-2025)
Densità,"360,93 ab./km²"
Frazioni,"Cròtesi, Mairano, Pistornile, Rivetta, San Biagio, Tronco Nero"
Comuni confinanti,"Borgo Priolo, Calvignano, Casatisma, Corvino San Quirico, Montebello della Battaglia, Oliva Gessi, Robecco Pavese, Verretto"
Altre informazioni,Altre informazioni
Cod. postale,27045
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018037
Cod. catastale,C053
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,casteggiani
Patrono,san Pietro Martire
Giorno festivo,lunedì dopo la terza domenica di settembre
Cartografia,Cartografia
Casteggio,Casteggio
Casteggio – MappaPosizione del comune di Casteggio nella provincia di Pavia,Casteggio – MappaPosizione del comune di Casteggio nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
