Rea comune,Rea comune.1
Rea – VedutaChiesa di San Lorenzo,Rea – VedutaChiesa di San Lorenzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Claudio Segni (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°07′N 9°09′E
Altitudine,63 m s.l.m.
Superficie,"2,16 km²"
Abitanti,395[1] (30-11-2025)
Densità,"182,87 ab./km²"
Comuni confinanti,"Bressana Bottarone, Cava Manara, Travacò Siccomario, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018119
Cod. catastale,H204
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,reesi
Cartografia,Cartografia
Rea,Rea
Rea – MappaPosizione del comune di Rea nella provincia di Pavia,Rea – MappaPosizione del comune di Rea nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
