Zavattarello comune,Zavattarello comune.1
,
Zavattarello – Veduta,Zavattarello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mauro Colombini (lista civica di centro-destra SiAmo Zavattarello) dal 10-6-2024
Territorio,Territorio
Coordinate,44°52′N 9°16′E
Altitudine,600 m s.l.m.
Superficie,"28,4 km²"
Abitanti,883[1] (30-11-2025)
Densità,"31,09 ab./km²"
Frazioni,"Casa Cagnone, Casa del Mercante, Casale, Casa Marchese, Cascine, Crociglia, Lagagnolo, Moline, Ossenisio, Perducco, Pradelle, Rossone, Rubero, San Silverio, Tovazza."
Comuni confinanti,"Alta Val Tidone (PC), Colli Verdi, Menconico, Romagnese, Varzi"
Altre informazioni,Altre informazioni
Cod. postale,27059
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018184
Cod. catastale,M150
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 138 GG[3]"
Nome abitanti,zavattarellesi
Patrono,san Paolo
Giorno festivo,25 gennaio
Motto,(LA) Praeda Vigil Vigilataque Poma
Cartografia,Cartografia
Zavattarello,Zavattarello
Zavattarello – MappaPosizione del comune di Zavattarello nella provincia di Pavia,Zavattarello – MappaPosizione del comune di Zavattarello nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
