Pancarana comune,Pancarana comune.1
,
Pancarana – VedutaChiesa Santi Pietro e Paolo,Pancarana – VedutaChiesa Santi Pietro e Paolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Maurizio Fusi (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°04′31″N 9°03′06″E
Altitudine,68 m s.l.m.
Superficie,"6,1 km²"
Abitanti,324[1] (30-11-2025)
Densità,"53,11 ab./km²"
Frazioni,Bonesca
Comuni confinanti,"Bastida Pancarana, Castelletto di Branduzzo, Cervesina, Mezzana Rabattone, Pizzale, Voghera, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018108
Cod. catastale,G304
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,pancaranesi
Cartografia,Cartografia
Pancarana,Pancarana
Pancarana – MappaPosizione del comune di Pancarana nella provincia di Pavia,Pancarana – MappaPosizione del comune di Pancarana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
