Cava Manara comune,Cava Manara comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Silvia Montagna (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°08′N 9°06′E
Altitudine,79 m s.l.m.
Superficie,"17,26 km²"
Abitanti,6 673[1] (30-11-2025)
Densità,"386,62 ab./km²"
Frazioni,"Aliarolo, Borra, Brondelli, Burroni, Ca' Matta, Cascina Roveda, Casearia, Casotti, Favone, Gallo, Gerre Chiozzo, Mandella, Mezzana Corti, Pülé, Rotto, Spessa, Torre de' Torti, Tre Re"
Comuni confinanti,"Bastida Pancarana, Bressana Bottarone, Carbonara al Ticino, Rea, San Martino Siccomario, Sommo, Travacò Siccomario, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27051
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018041
Cod. catastale,C360
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,cavesi
Patrono,sant'Agostino
Giorno festivo,28 agosto
Cartografia,Cartografia
Cava Manara,Cava Manara
Cava Manara – MappaPosizione del comune di Cava Manara nella provincia di Pavia,Cava Manara – MappaPosizione del comune di Cava Manara nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
