Badia Pavese comune,Badia Pavese comune.1
,
Badia Pavese – VedutaLa chiesa parrocchiale di San Giovanni Battista,Badia Pavese – VedutaLa chiesa parrocchiale di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Granata Ginetta (lista civica) dal 2016
Territorio,Territorio
Coordinate,45°07′N 9°28′E
Altitudine,55 m s.l.m.
Superficie,"5,06 km²"
Abitanti,408[1] (30-11-2025)
Densità,"80,63 ab./km²"
Frazioni,Magrese
Comuni confinanti,"Chignolo Po, Monticelli Pavese, Pieve Porto Morone, Santa Cristina e Bissone"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018006
Cod. catastale,A538
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 664 GG[3]"
Nome abitanti,casellesi
Cartografia,Cartografia
Badia Pavese,Badia Pavese
Badia Pavese – MappaPosizione del comune di Badia Pavese nella provincia di Pavia,Badia Pavese – MappaPosizione del comune di Badia Pavese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
