Carbonara al Ticino comune,Carbonara al Ticino comune.1
,
Carbonara al Ticino – VedutaLa stazione situata in località Cava,Carbonara al Ticino – VedutaLa stazione situata in località Cava
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Stefano Ubezio dal 5-6-2016
Territorio,Territorio
Coordinate,45°10′25.75″N 9°04′56.97″E
Altitudine,83 m s.l.m.
Superficie,"14,78 km²"
Abitanti,1 413[1] (30-11-2025)
Densità,"95,6 ab./km²"
Frazioni,Canarazzo[2]
Comuni confinanti,"Cava Manara, Pavia, San Martino Siccomario, Torre d'Isola, Villanova d'Ardenghi, Zerbolò, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018030
Cod. catastale,B741
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 619 GG[4]"
Nome abitanti,carbonaresi
Patrono,san Giovanni Evangelista e sant'Aldo
Giorno festivo,27 dicembre
Cartografia,Cartografia
Carbonara al Ticino,Carbonara al Ticino
Carbonara al Ticino – MappaPosizione del comune di Carbonara al Ticino nella provincia di Pavia,Carbonara al Ticino – MappaPosizione del comune di Carbonara al Ticino nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
