Tromello comune,Tromello comune.1
,
Tromello – VedutaVeduta,Tromello – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Federica Pasini (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°13′N 8°52′E
Altitudine,97 m s.l.m.
Superficie,"35,5 km²"
Abitanti,3 773[1] (30-11-2025)
Densità,"106,28 ab./km²"
Frazioni,"Cascine: Giarre, Roventino, Verdura, Gazzera, Pavesa, Cantonina, Montagione, Moretta, Luigiana, San Colombano, Conca, Uccellina, Donzellina, Cascinetta"
Comuni confinanti,"Alagna, Borgo San Siro, Cergnago, Gambolò, Garlasco, Mortara, Ottobiano, San Giorgio di Lomellina, Valeggio"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018164
Cod. catastale,L449
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,Tromellesi
Patrono,San Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Tromello,Tromello
Tromello – MappaPosizione del comune di Tromello nella provincia di Pavia,Tromello – MappaPosizione del comune di Tromello nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
