Campospinoso Albaredo comune,Campospinoso Albaredo comune.1
,
Campospinoso Albaredo – VedutaChiesa dei Santi Lorenzo e Giuseppe,Campospinoso Albaredo – VedutaChiesa dei Santi Lorenzo e Giuseppe
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Olga Volpin (Lista Civica - Insieme per Campospinoso) dal 26-05-2019
Territorio,Territorio
Coordinate,45°05′56.63″N 9°14′32.87″E
Altitudine,64 m s.l.m.
Superficie,"12,4434 km²"
Abitanti,1 330[1] (30-11-2025)
Densità,"106,88 ab./km²"
Frazioni,"Albaredo Arnaboldi, Baselica, Campospinoso, Case Basse, Moranda"
Comuni confinanti,"Barbianello, Belgioioso, Broni, Casanova Lonati, Linarolo, Mezzanino, San Cipriano Po"
Altre informazioni,Altre informazioni
Cod. postale,27062
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018026
Cod. catastale,B567
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,Campospinosini
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Campospinoso Albaredo,Campospinoso Albaredo
Campospinoso Albaredo – MappaPosizione del comune di Campospinoso Albaredo,Campospinoso Albaredo – MappaPosizione del comune di Campospinoso Albaredo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
