Linarolo comune,Linarolo comune.1
,
Linarolo – Veduta,Linarolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paolo Mario Fraschini (lista civica Insieme) dal 26-5-2019
Territorio,Territorio
Coordinate,45°10′N 9°16′E
Altitudine,73 m s.l.m.
Superficie,"13,17 km²"
Abitanti,2 802[1] (30-11-2025)
Densità,"212,76 ab./km²"
Frazioni,"Ospedaletto, San Leonardo, Vaccarizza"
Comuni confinanti,"Albuzzano, Belgioioso, Campospinoso Albaredo, Mezzanino, Travacò Siccomario, Valle Salimbene"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018081
Cod. catastale,E600
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,(IT) linarolesi (Dialetto pavese) sücot
Patrono,Madonna del Rosario e sant'Antonio abate
Giorno festivo,lunedì dopo la seconda domenica di ottobre
Cartografia,Cartografia
Linarolo,Linarolo
Linarolo – MappaPosizione del comune di Linarolo nella provincia di Pavia,Linarolo – MappaPosizione del comune di Linarolo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
