Rivanazzano Terme comune,Rivanazzano Terme comune.1
,
Rivanazzano Terme – VedutaSede comunale,Rivanazzano Terme – VedutaSede comunale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Alice Zelaschi (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,44°55′50.76″N 9°00′50.97″E
Altitudine,153 m s.l.m.
Superficie,"28,91 km²"
Abitanti,5 140[1] (30-11-2025)
Densità,"177,79 ab./km²"
Frazioni,"Buscofà, Chioda, Nazzano"
Comuni confinanti,"Casalnoceto (AL), Godiasco Salice Terme, Pontecurone (AL), Retorbido, Rocca Susella, Voghera"
Altre informazioni,Altre informazioni
Cod. postale,27055
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018122
Cod. catastale,H336
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 685 GG[3]"
Nome abitanti,rivanazzanesi
Cartografia,Cartografia
Rivanazzano Terme,Rivanazzano Terme
Rivanazzano Terme – MappaPosizione del comune di Rivanazzano Terme nella provincia di Pavia,Rivanazzano Terme – MappaPosizione del comune di Rivanazzano Terme nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
