Mezzana Rabattone comune,Mezzana Rabattone comune.1
,
Mezzana Rabattone – VedutaVeduta,Mezzana Rabattone – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giorgio Facchina (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°06′N 9°02′E
Altitudine,68 m s.l.m.
Superficie,"7,06 km²"
Abitanti,456[1] (30-11-2025)
Densità,"64,59 ab./km²"
Comuni confinanti,"Bastida Pancarana, Cervesina, Pancarana, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018091
Cod. catastale,F171
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,mezzanesi
Patrono,san Giovanni Battista
Giorno festivo,terza domenica di ottobre
Cartografia,Cartografia
Mezzana Rabattone,Mezzana Rabattone
Mezzana Rabattone – MappaPosizione del comune di Mezzana Rabattone nella provincia di Pavia,Mezzana Rabattone – MappaPosizione del comune di Mezzana Rabattone nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
