Battuda comune,Battuda comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Cecilia Nardelli (Commissario prefettizio) dal 1-7-2025
Territorio,Territorio
Coordinate,45°16′18.29″N 9°03′49.13″E
Altitudine,98 m s.l.m.
Superficie,"7,14 km²"
Abitanti,641[1] (30-11-2025)
Densità,"89,78 ab./km²"
Frazioni,"Cascina Barella, Cascina Cerro, Torradello, Torrino"
Comuni confinanti,"Marcignago, Rognano, Trivolzio, Trovo, Vellezzo Bellini"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018012
Cod. catastale,A718
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,battudini
Patrono,sant'Antonio da Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Battuda,Battuda
Battuda – MappaPosizione del comune di Battuda nella provincia di Pavia,Battuda – MappaPosizione del comune di Battuda nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
