Montebello della Battaglia comune,Montebello della Battaglia comune.1
,
Montebello della Battaglia – Veduta,Montebello della Battaglia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Mariani (lista civica Lista aperta per Montebello) dal 25-5-2014
Territorio,Territorio
Coordinate,45°00′03.45″N 9°06′12.43″E
Altitudine,110 m s.l.m.
Superficie,"15,74 km²"
Abitanti,1 437[1] (30-11-2025)
Densità,"91,3 ab./km²"
Frazioni,"Canova Ghiringhelli, Castel Felice, Genestrello, Sgarbina"
Comuni confinanti,"Borgo Priolo, Casteggio, Codevilla, Lungavilla, Torrazza Coste, Verretto, Voghera"
Altre informazioni,Altre informazioni
Cod. postale,27054
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018095
Cod. catastale,F440
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,montebellesi
Patrono,Madonna del Rosario
Giorno festivo,prima domenica di ottobre
Cartografia,Cartografia
Montebello della Battaglia,Montebello della Battaglia
Montebello della Battaglia – MappaPosizione del comune di Montebello della Battaglia nella provincia di Pavia,Montebello della Battaglia – MappaPosizione del comune di Montebello della Battaglia nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
