Castelnovetto comune,Castelnovetto comune.1
,
Castelnovetto – VedutaChiesa di Santa Maria delle Grazie,Castelnovetto – VedutaChiesa di Santa Maria delle Grazie
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gabriele Bonassi (lista civica) dal 20-5-2014
Territorio,Territorio
Coordinate,45°15′N 8°37′E
Altitudine,111 m s.l.m.
Superficie,"18,21 km²"
Abitanti,541[1] (30-11-2025)
Densità,"29,71 ab./km²"
Comuni confinanti,"Ceretto Lomellina, Cozzo, Nicorvo, Robbio, Rosasco, Sant'Angelo Lomellina"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018040
Cod. catastale,C213
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,castelnovettesi
Patrono,Santa Maria e San Giorgio
Cartografia,Cartografia
Castelnovetto,Castelnovetto
Castelnovetto – MappaPosizione del comune di Castelnovetto nella provincia di Pavia,Castelnovetto – MappaPosizione del comune di Castelnovetto nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
