Ceranova comune,Ceranova comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Giorgio Costa (lista civica) dal 09-06-2024
Territorio,Territorio
Coordinate,45°15′25.5″N 9°14′58.5″E
Altitudine,86 m s.l.m.
Superficie,"4,6 km²"
Abitanti,2 361[1] (30-11-2025)
Densità,"513,26 ab./km²"
Frazioni,"Gioiello, San Rocco"
Comuni confinanti,"Bornasco, Lardirago, Marzano, Vidigulfo"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018043
Cod. catastale,C484
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,ceranovesi
Patrono,San Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
Ceranova,Ceranova
Ceranova – MappaPosizione del comune di Ceranova nella provincia di Pavia,Ceranova – MappaPosizione del comune di Ceranova nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
