San Martino Siccomario comune,San Martino Siccomario comune.1
,
San Martino Siccomario – Veduta,San Martino Siccomario – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Viola (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°09′N 9°08′E
Altitudine,63 m s.l.m.
Superficie,"14,29 km²"
Abitanti,6 677[1] (30-11-2025)
Densità,"467,25 ab./km²"
Frazioni,"Aliarolo, Bivio Cava Manara, Cascina Bargitta, Cascina Maddalena, Cascina Zerbi, Case Nuove, Colombarolo, Gallo, Gravellone, La Madonna, Molinello, Paradiso Nuovo, Paradiso Vecchio, Santa Croce, Torre dei Cani"
Comuni confinanti,"Carbonara al Ticino, Cava Manara, Pavia, Travacò Siccomario"
Altre informazioni,Altre informazioni
Cod. postale,27028
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018137
Cod. catastale,I014
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 623 GG[3]"
Nome abitanti,sammartinesi
Patrono,san Martino di Tours
Cartografia,Cartografia
San Martino Siccomario,San Martino Siccomario
San Martino Siccomario – MappaPosizione del comune di San Martino Siccomario nella provincia di Pavia,San Martino Siccomario – MappaPosizione del comune di San Martino Siccomario nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
