Vistarino comune,Vistarino comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Enrica Boschetti
Territorio,Territorio
Coordinate,45°12′31.76″N 9°18′32.35″E
Altitudine,72 m s.l.m.
Superficie,"9,49 km²"
Abitanti,1 603[1] (30-11-2025)
Densità,"168,91 ab./km²"
Frazioni,"Buttirago, Vivente"
Comuni confinanti,"Albuzzano, Copiano, Cura Carpignano, Filighera, Magherno, Marzano, Roncaro, Torre d'Arese"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018181
Cod. catastale,M079
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,vistarinesi
Patrono,san Mauro
Cartografia,Cartografia
Vistarino,Vistarino
Vistarino – MappaPosizione del comune di Vistarino nella provincia di Pavia,Vistarino – MappaPosizione del comune di Vistarino nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
