Nicorvo comune,Nicorvo comune.1
,
"Nicorvo – VedutaSantuario della Madonna del Patrocinio o ""Madonnina""","Nicorvo – VedutaSantuario della Madonna del Patrocinio o ""Madonnina"""
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Michele Ratti dall'11-6-2018
Territorio,Territorio
Coordinate,45°17′N 8°40′E
Altitudine,115 m s.l.m.
Superficie,"8,08 km²"
Abitanti,289[1] (30-11-2025)
Densità,"35,77 ab./km²"
Comuni confinanti,"Albonese, Borgolavezzaro (NO), Castelnovetto, Ceretto Lomellina, Mortara, Robbio"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018103
Cod. catastale,F891
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 614 GG[3]"
Nome abitanti,nicorvesi
Patrono,san Terenziano
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Nicorvo,Nicorvo
Nicorvo – MappaPosizione del comune di Nicorvo nella provincia di Pavia,Nicorvo – MappaPosizione del comune di Nicorvo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
