Robecco Pavese comune,Robecco Pavese comune.1
,
Robecco Pavese – VedutaChiesa della Madonna del Carmine,Robecco Pavese – VedutaChiesa della Madonna del Carmine
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Pier Luigi Bianchi (lista civica) dal 14-6-2004
Territorio,Territorio
Coordinate,45°03′N 9°09′E
Altitudine,75 m s.l.m.
Superficie,"6,93 km²"
Abitanti,508[1] (30-11-2025)
Densità,"73,3 ab./km²"
Frazioni,"Casa Chiodi, Stradellino, Taccona, Pomà, Robecchina, Praiette, Ponte Pietra, Casa Bruciata"
Comuni confinanti,"Bressana Bottarone, Casatisma, Casteggio, Corvino San Quirico, Pinarolo Po, Santa Giuletta, Torricella Verzate"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018124
Cod. catastale,H375
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,robecchesi
Patrono,Ss. Nazario e Celso
Cartografia,Cartografia
Robecco Pavese,Robecco Pavese
Robecco Pavese – MappaPosizione del comune di Robecco Pavese nella provincia di Pavia,Robecco Pavese – MappaPosizione del comune di Robecco Pavese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
