Rosasco comune,Rosasco comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Riccardo Berzero Taccone (Per Rosasco) dal 27-5-2019
Territorio,Territorio
Coordinate,45°15′03.82″N 8°34′44.18″E
Altitudine,114 m s.l.m.
Superficie,"19,55 km²"
Abitanti,559[1] (30-11-2025)
Densità,"28,59 ab./km²"
Frazioni,Rivoltella
Comuni confinanti,"Caresana (VC), Castelnovetto, Cozzo, Langosco, Palestro, Pezzana (VC), Robbio"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018130
Cod. catastale,H559
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,rosaschesi
Patrono,San Valentino
Cartografia,Cartografia
Rosasco,Rosasco
Rosasco – MappaPosizione del comune di Rosasco nella provincia di Pavia,Rosasco – MappaPosizione del comune di Rosasco nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
