Chignolo Po comune,Chignolo Po comune.1
,
Chignolo Po – VedutaCastello di Chignolo Po,Chignolo Po – VedutaCastello di Chignolo Po
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Antonella Zanaletti (I cittadini al Centro) dall'8-6-2024
Territorio,Territorio
Coordinate,45°09′N 9°29′E
Altitudine,68 m s.l.m.
Superficie,"23,39 km²"
Abitanti,4 048[1] (30-11-2025)
Densità,"173,07 ab./km²"
Frazioni,"Alberone, Bosco, Cantonale, Lambrinia"
Comuni confinanti,"Badia Pavese, Miradolo Terme, Monticelli Pavese, Orio Litta (LO), Rottofreno (PC), San Colombano al Lambro (MI), Santa Cristina e Bissone"
Altre informazioni,Altre informazioni
Cod. postale,27013
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018048
Cod. catastale,C637
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 664 GG[3]"
Nome abitanti,chignolesi
Cartografia,Cartografia
Chignolo Po,Chignolo Po
Chignolo Po – MappaPosizione del comune di Chignolo Po nella provincia di Pavia,Chignolo Po – MappaPosizione del comune di Chignolo Po nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
