Sant'Angelo Lomellina comune,Sant'Angelo Lomellina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Matteo Grossi dal 5-6-2016
Territorio,Territorio
Coordinate,45°14′46″N 8°38′40″E
Altitudine,112 m s.l.m.
Superficie,"10,5 km²"
Abitanti,800[1] (30-11-2025)
Densità,"76,19 ab./km²"
Comuni confinanti,"Castello d'Agogna, Castelnovetto, Ceretto Lomellina, Cozzo, Zeme"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018144
Cod. catastale,I276
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 812 GG[3]"
Nome abitanti,santangelesi
Patrono,san Michele
Cartografia,Cartografia
Sant'Angelo Lomellina,Sant'Angelo Lomellina
Sant'Angelo Lomellina – MappaPosizione del comune di Sant'Angelo Lomellina nella provincia di Pavia,Sant'Angelo Lomellina – MappaPosizione del comune di Sant'Angelo Lomellina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
