Castana comune,Castana comune.1
,
Castana – Veduta,Castana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Maria Pia Bardoneschi (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,45°02′N 9°16′E
Altitudine,290 m s.l.m.
Superficie,"5,28 km²"
Abitanti,708[1] (30-11-2025)
Densità,"134,09 ab./km²"
Frazioni,"Ca' dei Colombi, Ca' dei Cristina, Ca' dei Rovati, Ca' del Moro, Cassinassa, Località Portico, Loglio, Martinasca, Quarti"
Comuni confinanti,"Canneto Pavese, Cigognola, Montescano, Montù Beccaria, Pietra de' Giorgi, Santa Maria della Versa"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018036
Cod. catastale,C050
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 968 GG[3]"
Nome abitanti,castanesi
Patrono,sant'Andrea Apostolo
Cartografia,Cartografia
Castana,Castana
Castana – MappaPosizione del comune di Castana nella provincia di Pavia,Castana – MappaPosizione del comune di Castana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
