Borgarello comune,Borgarello comune.1
,
Borgarello – VedutaIl municipio,Borgarello – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Alberta Samuele (lista Progetto Civico) dal 15-5-2023
Territorio,Territorio
Coordinate,45°14′N 9°08′E
Altitudine,88 m s.l.m.
Superficie,"4,84 km²"
Abitanti,2 829[1] (30-11-2025)
Densità,"584,5 ab./km²"
Frazioni,"Cantone Tre Miglia, Porta d’Agosto, Uschiolo"
Comuni confinanti,"Certosa di Pavia, Giussago, Pavia, San Genesio ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,27010
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018015
Cod. catastale,A989
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,borgarellesi
Patrono,san Martino di Tours
Giorno festivo,11 novembre
PIL procapite,(nominale) Euro 26.519 (anno 2020)
Cartografia,Cartografia
Borgarello,Borgarello
Borgarello – MappaPosizione del comune di Borgarello nella provincia di Pavia,Borgarello – MappaPosizione del comune di Borgarello nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
