Suardi comune,Suardi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Dario Biancardi (lista civica) dal 5-10-2021
Territorio,Territorio
Coordinate,45°02′05.42″N 8°44′33.32″E
Altitudine,84 m s.l.m.
Superficie,"9,85 km²"
Abitanti,579[1] (30-11-2025)
Densità,"58,78 ab./km²"
Comuni confinanti,"Bassignana (AL), Frascarolo, Gambarana, Valenza (AL)"
Altre informazioni,Altre informazioni
Cod. postale,27030
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018154
Cod. catastale,B014
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 715 GG[3]"
Nome abitanti,suardesi
Patrono,San Bartolomeo
Motto,(LA) Burgus francus laumellinorum
Cartografia,Cartografia
Suardi,Suardi
Suardi – MappaPosizione del comune di Suardi nella provincia di Pavia,Suardi – MappaPosizione del comune di Suardi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
