Certosa di Pavia comune,Certosa di Pavia comune.1
,
Certosa di Pavia – VedutaLa facciata del monastero che dà il nome al comune,Certosa di Pavia – VedutaLa facciata del monastero che dà il nome al comune
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Marcello Emanuele Infurna (lista civica) dal 9 giugno 2024 (terzo mandato consecutivo)
Territorio,Territorio
Coordinate,45°15′15.68″N 9°07′40.4″E
Altitudine,90 m s.l.m.
Superficie,"10,86 km²"
Abitanti,5 601[1] (30-11-2025)
Densità,"515,75 ab./km²"
Frazioni,"Boschetto, Cascina Fiamberta, Cascina Tirogno, Cascine Calderari, Samperone, Torre del Mangano (sede comunale), Torriano"
Comuni confinanti,"Borgarello, Giussago, Marcignago, Pavia, Vellezzo Bellini"
Altre informazioni,Altre informazioni
Cod. postale,27012
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018046
Cod. catastale,C541
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,certosini
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Certosa di Pavia,Certosa di Pavia
Certosa di Pavia – MappaPosizione del comune di Certosa di Pavia nella provincia di Pavia,Certosa di Pavia – MappaPosizione del comune di Certosa di Pavia nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
