Casanova Lonati comune,Casanova Lonati comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Stefano Lucato (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°06′N 9°13′E
Altitudine,64 m s.l.m.
Superficie,"4,63 km²"
Abitanti,452[1] (30-11-2025)
Densità,"97,62 ab./km²"
Frazioni,"Campanina, Candiana, Case Forni, Casotti del Furbo, Pelucca, Pioltina, Vercesa"
Comuni confinanti,"Barbianello, Campospinoso Albaredo, Mezzanino, Pinarolo Po, Verrua Po"
Altre informazioni,Altre informazioni
Cod. postale,27041
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018031
Cod. catastale,B929
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,casanovesi
Cartografia,Cartografia
Casanova Lonati,Casanova Lonati
Casanova Lonati – MappaPosizione del comune di Casanova Lonati nella provincia di Pavia,Casanova Lonati – MappaPosizione del comune di Casanova Lonati nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
