Pietra de' Giorgi comune,Pietra de' Giorgi comune.1
,
Pietra de' Giorgi – Veduta,Pietra de' Giorgi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Gianmaria Testori (lista civica) dal 10-7-2024
Territorio,Territorio
Coordinate,45°01′13.37″N 9°13′49.98″E
Altitudine,311 m s.l.m.
Superficie,"11,2 km²"
Abitanti,777[1] (30-11-2025)
Densità,"69,38 ab./km²"
Frazioni,"Boffalora, Bordonenzo, Boscaiolo, Bosco Casella, Calcababbio, Calcamucchio, Calchera, Casa Botta, Casa Carrone, Casa Costa, Casa Remigio, Cascina Esse, Casetta, Castagnara, Castellato, Cerrone, Cerronetto, Costa Grossa, Fitti, Molino, Pecorara, Quadrivio, Quarti, Scagno, Scorzoletta, Tagliate"
Comuni confinanti,"Broni, Castana, Cigognola, Montalto Pavese, Mornico Losana, Redavalle, Santa Giuletta, Santa Maria della Versa"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018111
Cod. catastale,G612
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 001 GG[3]"
Nome abitanti,predalini
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Pietra de' Giorgi,Pietra de' Giorgi
Pietra de' Giorgi – MappaPosizione del comune di Pietra de' Giorgi nella provincia di Pavia,Pietra de' Giorgi – MappaPosizione del comune di Pietra de' Giorgi nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
