Menconico comune,Menconico comune.1
,
Menconico – Veduta,Menconico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Paolino Giuseppe Donato Bertorelli (lista civica Miglioriamo Menconico Insieme) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°48′N 9°17′E
Altitudine,728 m s.l.m.
Superficie,"28,14 km²"
Abitanti,326[1] (30-11-2025)
Densità,"11,58 ab./km²"
Frazioni,"Bardineio, Ca' del Bosco, Canova, Carrobiolo, Casa Ciocca, Collegio, Costa Montemartino, Costa San Pietro, Ghiareto, Giarola, Lago, Molino San Pietro, Montemartino, Piano Margarino, San Pietro Casasco, Vallechiara, Varsaia, Vigomarito"
Comuni confinanti,"Bobbio (PC), Romagnese, Santa Margherita di Staffora, Varzi, Zavattarello"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018089
Cod. catastale,F122
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 420 GG[3]"
Nome abitanti,menconichesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Menconico,Menconico
Menconico – MappaPosizione del comune di Menconico nella provincia di Pavia,Menconico – MappaPosizione del comune di Menconico nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
