Parona comune,Parona comune.1
,
Parona – VedutaPiazza Nuova,Parona – VedutaPiazza Nuova
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Massimo Bovo (lista civica) dal 09-06-2024
Data di istituzione,1910
Territorio,Territorio
Coordinate,45°16′57.37″N 8°45′03.04″E
Altitudine,113 m s.l.m.
Superficie,"9,3 km²"
Abitanti,1 857[1] (30-11-2025)
Densità,"199,68 ab./km²"
Comuni confinanti,"Albonese, Cilavegna, Mortara, Vigevano"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018109
Cod. catastale,G342
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 641 GG[3]"
Nome abitanti,Paronesi o Paronini
Patrono,Madonna del Rosario
Cartografia,Cartografia
Parona,Parona
Parona – MappaPosizione del comune di Parona nella provincia di Pavia,Parona – MappaPosizione del comune di Parona nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
