Bastida Pancarana comune,Bastida Pancarana comune.1
,
Bastida Pancarana – VedutaVeduta centrale della chiesa di San Bartolomeo Apostolo,Bastida Pancarana – VedutaVeduta centrale della chiesa di San Bartolomeo Apostolo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Renata Rita Martinotti (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°05′53.46″N 9°05′18.75″E
Altitudine,67 m s.l.m.
Superficie,"12,5 km²"
Abitanti,917[1] (30-11-2025)
Densità,"73,36 ab./km²"
Comuni confinanti,"Bressana Bottarone, Castelletto di Branduzzo, Cava Manara, Mezzana Rabattone, Pancarana, Sommo, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018011
Cod. catastale,A712
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,bastidesi
Cartografia,Cartografia
Bastida Pancarana,Bastida Pancarana
Bastida Pancarana – MappaPosizione del comune di Bastida Pancarana nella provincia di Pavia,Bastida Pancarana – MappaPosizione del comune di Bastida Pancarana nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
