Alagna comune,Alagna comune.1
,
"Alagna – VedutaIl castello di Alagna, risalente al XVI secolo","Alagna – VedutaIl castello di Alagna, risalente al XVI secolo"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Renato Lavezzi (lista civica Insieme per Alagna) dal 14-05-2023
Territorio,Territorio
Coordinate,45°10′N 8°53′E
Altitudine,92 m s.l.m.
Superficie,"8,34 km²"
Abitanti,811[1] (30-11-2025)
Densità,"97,24 ab./km²"
Comuni confinanti,"Dorno, Garlasco, Tromello, Valeggio"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018001
Cod. catastale,A118
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,alagnesi
Patrono,san Germano d'Auxerre
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Alagna,Alagna
Alagna – MappaPosizione del comune di Alagna nella provincia di Pavia,Alagna – MappaPosizione del comune di Alagna nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
