Arena Po comune,Arena Po comune.1
,
Arena Po – VedutaIl castello,Arena Po – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,"Alessandro Belforti (lista civica Insieme per Arena, di destra) dal 26-5-2019 (2º mandato)"
Territorio,Territorio
Coordinate,45°05′02.97″N 9°23′08.76″E
Altitudine,61 m s.l.m.
Superficie,"22,49 km²"
Abitanti,1 524[1] (30-11-2025)
Densità,"67,76 ab./km²"
Frazioni,"Ca' de Ratti, Chieppa, Fabbrica, Fornace, Ghelfa, Monteacuto, Parpanese, Piantà, Plessa, Ripaldina, Salerno, Zappellone"
Comuni confinanti,"Bosnasco, Castel San Giovanni (PC), Pieve Porto Morone, Portalbera, San Zenone al Po, Spessa, Stradella, Zenevredo, Zerbo"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018005
Cod. catastale,A387
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,arenesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Arena Po,Arena Po
Arena Po – MappaPosizione del comune di Arena Po nella provincia di Pavia,Arena Po – MappaPosizione del comune di Arena Po nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
