Borgo Priolo comune,Borgo Priolo comune.1
,
Borgo Priolo – Veduta,Borgo Priolo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Andrea Giganti (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°58′N 9°09′E
Altitudine,144 m s.l.m.
Superficie,"28,81 km²"
Abitanti,1 213[1] (30-11-2025)
Densità,"42,1 ab./km²"
Frazioni,Staghiglione e altre
Comuni confinanti,"Borgoratto Mormorolo, Calvignano, Casteggio, Fortunago, Montalto Pavese, Montebello della Battaglia, Montesegale, Rocca Susella, Torrazza Coste"
Altre informazioni,Altre informazioni
Cod. postale,27040
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018016
Cod. catastale,B028
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 685 GG[3]"
Nome abitanti,borgopriolesi
Cartografia,Cartografia
Borgo Priolo,Borgo Priolo
Borgo Priolo – MappaPosizione del comune di Borgo Priolo nella provincia di Pavia,Borgo Priolo – MappaPosizione del comune di Borgo Priolo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
