Trovo comune,Trovo comune.1
,
Trovo – VedutaLa parrocchiale di San Biagio,Trovo – VedutaLa parrocchiale di San Biagio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Mattia Sacchi (lista civica Tutti per Trovo) dal 25-5-2014
Territorio,Territorio
Coordinate,45°17′N 9°02′E
Altitudine,97 m s.l.m.
Superficie,"8,16 km²"
Abitanti,994[1] (30-11-2025)
Densità,"121,81 ab./km²"
Frazioni,"Melghera, Pallavicina, Papiago"
Comuni confinanti,"Battuda, Bereguardo, Casorate Primo, Motta Visconti (MI), Rognano, Trivolzio, Vernate (MI)"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0382
Fuso orario,UTC+1
Codice ISTAT,018165
Cod. catastale,L453
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,trovesi
Cartografia,Cartografia
Trovo,Trovo
Trovo – MappaPosizione del comune di Trovo nella provincia di Pavia,Trovo – MappaPosizione del comune di Trovo nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
