Albonese comune,Albonese comune.1
,
Albonese – VedutaChiesa parrocchiale,Albonese – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Innocenza Leva (lista civica Vivere Albonese) dal 09-06-2024
Territorio,Territorio
Coordinate,45°17′31.17″N 8°42′23.14″E
Altitudine,113 m s.l.m.
Superficie,"4,33 km²"
Abitanti,554[1] (30-11-2025)
Densità,"127,94 ab./km²"
Comuni confinanti,"Borgolavezzaro (NO), Cilavegna, Mortara, Nicorvo, Parona"
Altre informazioni,Altre informazioni
Cod. postale,27020
Prefisso,0384
Fuso orario,UTC+1
Codice ISTAT,018003
Cod. catastale,A171
Targa,PV
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 673 GG[3]"
Nome abitanti,albonesini
Patrono,santa Maria e san Paolo
Giorno festivo,seconda domenica di settembre
Cartografia,Cartografia
Albonese,Albonese
Albonese – MappaPosizione del comune di Albonese nella provincia di Pavia,Albonese – MappaPosizione del comune di Albonese nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
