San Cipriano Po comune,San Cipriano Po comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Marco Paravella (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°06′39.69″N 9°16′59.43″E
Altitudine,63 m s.l.m.
Superficie,"8,5 km²"
Abitanti,456[1] (30-11-2025)
Densità,"53,65 ab./km²"
Frazioni,"Buffalora, Coste"
Comuni confinanti,"Belgioioso, Broni, Campospinoso Albaredo, Spessa, Stradella"
Altre informazioni,Altre informazioni
Cod. postale,27043
Prefisso,0385
Fuso orario,UTC+1
Codice ISTAT,018133
Cod. catastale,H799
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 628 GG[3]"
Nome abitanti,sanciprianini
Cartografia,Cartografia
San Cipriano Po,San Cipriano Po
San Cipriano Po – MappaPosizione del comune di San Cipriano Po nella provincia di Pavia,San Cipriano Po – MappaPosizione del comune di San Cipriano Po nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
