Cervesina comune,Cervesina comune.1
,
"Cervesina – VedutaCastello di San Gaudenzio (San Gaudenzio, frazione di Cervesina)","Cervesina – VedutaCastello di San Gaudenzio (San Gaudenzio, frazione di Cervesina)"
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Pavia
Amministrazione,Amministrazione
Sindaco,Daniele Taramaschi (lista civica Cervesina nuova) dal 26-5-2014
Territorio,Territorio
Coordinate,45°03′43″N 9°01′01″E
Altitudine,72 m s.l.m.
Superficie,"12,41 km²"
Abitanti,1 109[1] (30-11-2025)
Densità,"89,36 ab./km²"
Frazioni,"Buschi, San Gaudenzio"
Comuni confinanti,"Corana, Mezzana Rabattone, Pancarana, Voghera, Zinasco"
Altre informazioni,Altre informazioni
Cod. postale,27050
Prefisso,0383
Fuso orario,UTC+1
Codice ISTAT,018047
Cod. catastale,C551
Targa,PV
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,cervesinesi
Cartografia,Cartografia
Cervesina,Cervesina
Cervesina – MappaPosizione del comune di Cervesina nella provincia di Pavia,Cervesina – MappaPosizione del comune di Cervesina nella provincia di Pavia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
